S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1.23,6005.0,6.94994,0
0.9,1928.0,3.3415185,0
3.5,1299.0,2.78,0
1.07,386.29999,1.1925,0
1.51,2.1974,0.037992855,0
0.97,1039.15,2.0265761,0
1.2,103.95,0.4716225,0
1.23,176.3,0.764598,0
1.75,2730.0,4.6064607,0
1.02,5.77152,0.064337813,0
1.02,13.5052,0.11689545,0
0.93,44.236,0.26501856,0
0.93,1008.0,1.9389991,0
0.6,86.78,0.32379135,0
1.11,528.4,1.364616,0
1.43,676.6,1.7204213,0
1.38,116.596,0.53318359,0
1.38,491.54,1.395972,0
1.22,1027.0,2.78124,0
1.21,328.55,1.1640785,0
1.21,5062.0,6.1980469,0
1.07,339.331,1.0477919,0
1.64,331.5,1.053312,0
1.42,2.87589,0.044475466,0
1.2,4.07182,0.053007391,0
1.46,428.5,1.2626064,0
1.17,5894.0,7.18374,0
1.15,2918.92,4.7795107,0
1.3,686.5,1.661328,0
0.9,4.75615,0.05241141,0
0.9,17.1784,0.1269585,0
1.25,499.39999,1.353984,0
0.71,3341.5588,4.213368,0
1.18,163.94,0.71163,0
1.96,408.60001,1.426482,0
1.96,3452.0,5.369648,0
1.69,818.8,2.0016,0
1.15,194.3,0.6391035,0
1.15,391.9,1.033056,0
0.95,131.05,0.6135045,0
0.95,4191.0,5.1333148,0
1.25,842.2,1.925496,0
0.77,4.6455,0.05,0
1.38,359.51001,1.5246,0
1.3,521.0,1.563075,0
1.8,820.2,2.117745,0
1.12,12.62,0.110022,0
1.12,248.4,0.80225,0
1.19,1184.1,2.3206682,0
1.19,351.0,1.0494697,0
1.33,577.2,1.4987326,0
1.33,2149.0,3.6015634,0
1.08,643.25,1.5092634,0
1.08,4205.8,5.2603956,0
1.08,9.6386,0.092285184,0
1.08,310.55,0.92304258,0
1.11,75.523,0.37125,0
1.63,990.0,2.5016,0
0.42,8.4282,0.083136,0
1.12,75.2203,0.46221695,0
1.12,1272.0,2.397648,0
1.2,17.24,0.1428,0
1.12,280.17,0.89464014,0
0.99,40.0,0.23089056,0
0.77,641.472,1.4125238,0
0.76,1155.0,2.102625,0
0.76,75.765,0.34320942,0
1.02,434.5,1.1526,0
1.5,270.0,1.126543,0
0.81,5144.0,6.8800288,0
1.5,420.77,1.3252279,0
0.99,58.11247,0.33408434,0
0.99,1749.83,2.9006394,0
1.07,6.404,0.0704235,0
1.86,533.0,1.638528,0
1.4,225.62,0.8489205,0
1.4,2102.0,3.79602,0
1.1,1145.0,2.253552,0
1.53,550.0,1.549746,0
0.96,1532.0,2.6403615,0
1.41,21.21663,0.20702787,0
2.0,323.6,1.185578,0
1.37,1290.0,2.74992,0
1.39,298.43,0.98089875,0
0.71,29.01,0.16579843,0
0.98,623.8,1.431999,0
0.79,6.4898,0.063097127,0
0.79,16.8191,0.11951174,0
1.0,44.505,0.24643253,0
1.7,410.10001,1.1457,0
1.7,110.9,0.5368165,0
1.24,71.484,0.342057,0
1.14,14.479,0.12154574,0
1.21,3.092514,0.044310721,0
1.75,213.72,0.84576546,0
1.49,2278.0,3.9123842,0
2.2,396.03,1.509348,0
0.45,105.9,0.33999696,0
1.41,510.9,1.4080143,0
1.01,7462.0575,9.523704,0
1.69,564.1,1.5923853,0
0.63,9.3743,0.0864,0
0.63,962.0,1.828992,0
0.63,2172.0,3.3456,0
1.03,956.0,1.91253,0
1.31,626.51599,1.586552,0
1.31,3070.0,4.4742382,0
1.3,6.83776,0.079018979,0
1.19,1019.74,2.166151,0
1.0,3.0965828,0.04260226,0
1.0,3810.0,5.0452673,0
1.36,766.0,1.821456,0
1.09,461.2,1.2142896,0
0.79,2.2185757,0.030768152,0
0.99,2915.0369,4.1607585,0
0.99,17.111,0.13406222,0
1.07,1176.45,2.2869713,0
0.91,4885.0,6.393475,0
1.14,1606.3,2.8939134,0
0.66,24.3556,0.1501875,0
0.8,74.72,0.322704,0
0.8,525.8,1.240416,0
1.38,340.94,1.0665738,0
1.21,18.20132,0.140007,0
1.31,1378.0,2.5763895,0
1.29,3638.0,6.113356,0
1.28,1333.0,2.643024,0
1.11,1035.7,2.120094,0
1.36,466.2,1.3075898,0
0.88,11.8482,0.10371152,0
0.88,33.9239,0.197382,0
1.39,606.3,1.5709227,0
1.39,852.5,2.017868,0
1.27,1260.0,2.468322,0
1.91,517.8,1.5660947,0
1.91,946.6,2.3429181,0
1.72,3.308958,0.052117602,0
1.12,1552.9,2.8440062,0
1.23,1120.0,2.75451,0
1.03,1920.1,3.1512015,0
1.03,34.905,0.21242142,0
0.58,1733.0,2.7245475,0
1.22,279.8,0.9286592,0
1.42,96.045,0.47319345,0
1.55,673.2,1.7487,0
0.7,5.3135,0.0531645,0
0.7,13.8905,0.10080662,0
0.7,29.158,0.16569644,0
0.7,85.5073,0.33800732,0
1.07,597.0643,1.9808111,0
1.05,160.07,0.59737104,0
1.05,1155.7,2.1889824,0
0.7,18.315,0.1207,0
0.7,40.114,0.2036,0
0.7,90.309,0.3499,0
0.7,147.02,0.53040345,0
1.13,130.08,0.5390912,0
1.6,875.5,2.10672,0
0.39,380.85001,1.2171875,0
1.25,352.7,1.0525725,0
1.23,3.5247486,0.04855456,0
1.04,649.918,1.5298256,0
1.01,442.19,1.260176,0
1.61,354.1,1.14845,0
1.03,1558.0,3.2700672,0
0.61,25.201,0.14460875,0
1.55,2.24571,0.03,0
1.56,380.7,1.1934367,0
1.57,882.70001,2.056698,0
0.89,84.288,0.39096,0
1.31,1854.4,3.27349,0
0.77,5.75999,0.057638,0
0.77,7.28243,0.067393,0
0.77,10.86499,0.08799,0
0.77,25.1967,0.15417,0
0.67,3.93404,0.05064,0
0.67,567.94,1.4359041,0
1.3,1311.0,2.566272,0
1.17,1334.28,2.6224605,0
0.81,148.60001,0.654042,0
0.74,118.45,0.491487,0
0.8,22.6786,0.1465476,0
0.8,53.7357,0.25923357,0
1.0,7.12682,0.080676,0
1.0,4270.0,6.0309887,0
0.73,7.78993,0.0695,0
1.02,1319.0,2.5704,0
1.03,3501.3,5.8842158,0
0.76,225.7,0.72105,0
1.05,5501.0,8.063919,0
0.81,3.092926,0.03876,0
0.81,6.76458,0.065425507,0
0.81,46.859,0.23925671,0
0.81,22.717,0.14790228,0
0.81,94.2,0.3753,0
0.81,2247.0,3.115598,0
1.0,2093.3,3.456,0
0.92,6.03607,0.06356,0
1.18,3.83492,0.050958595,0
1.18,4682.0,7.6903476,0
2.2,672.09998,1.61568,0
1.02,2266.4,3.4009514,0
1.16,3724.7,5.582447,0
1.13,218.47,0.80038992,0
1.25,456.1,1.254,0
1.21,14.2767,0.12361201,0
1.67,22482.0,20.1317,0
1.19,1173.0,2.3234437,0
1.07,871.0,1.835856,0
1.21,3999.0,5.205792,0
1.12,572.38,1.697043,0
1.34,1189.1,2.5254374,0
1.31,26.6904,0.19203293,0
0.75,528.07,1.5584846,0
1.12,730.59998,1.608,0
1.21,1211.17,2.5653307,0
1.21,141.63,0.57179115,0
1.5,192.0,0.74793375,0
0.75,17.667,0.121,0
0.75,29.625,0.17,0
1.47,1561.0,2.8709665,0
1.47,4100.0,6.59376,0
0.82,501.75,1.17305,0
